Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:58:51.479,114297.9,0.002,BTCUSDT
2025-09-29 23:58:51.479,114298.0,0.032,BTCUSDT
2025-09-29 23:58:51.479,114298.0,0.001,BTCUSDT
2025-09-29 23:58:51.479,114298.0,0.03,BTCUSDT
2025-09-29 23:58:51.479,114298.1,0.001,BTCUSDT
2025-09-29 23:58:51.479,114298.3,0.002,BTCUSDT
2025-09-29 23:58:51.479,114298.4,0.03,BTCUSDT
2025-09-29 23:58:51.479,114298.5,0.002,BTCUSDT
2025-09-29 23:58:51.479,114298.5,0.002,BTCUSDT
2025-09-29 23:58:51.479,114298.8,0.001,BTCUSDT
2025-09-29 23:58:51.479,114299.1,0.002,BTCUSDT
2025-09-29 23:58:51.479,114299.1,0.001,BTCUSDT
2025-09-29 23:58:51.479,114299.3,0.009,BTCUSDT
2025-09-29 23:58:51.479,114299.4,0.002,BTCUSDT
2025-09-29 23:58:51.479,114299.5,0.001,BTCUSDT
2025-09-29 23:58:51.479,114299.5,0.001,BTCUSDT
2025-09-29 23:58:51.479,114299.5,0.006,BTCUSDT
2025-09-29 23:58:51.479,114299.8,0.002,BTCUSDT
2025-09-29 23:58:51.479,114299.8,0.001,BTCUSDT
2025-09-29 23:58:51.479,114299.9,0.087,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.001,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.001,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.002,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.005,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.001,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.017,BTCUSDT
2025-09-29 23:58:51.479,114300.0,0.1,BTCUSDT
2025-09-29 23:58:51.479,114300.3,0.002,BTCUSDT
2025-09-29 23:58:51.479,114300.4,0.002,BTCUSDT
2025-09-29 23:58:51.479,114300.4,0.002,BTCUSDT
2025-09-29 23:58:51.479,114300.5,0.002,BTCUSDT
2025-09-29 23:58:51.479,114300.7,0.005,BTCUSDT
2025-09-29 23:58:51.479,114301.0,0.002,BTCUSDT
2025-09-29 23:58:51.479,114301.1,0.048,BTCUSDT
2025-09-29 23:58:51.479,114301.1,0.016,BTCUSDT
2025-09-29 23:58:51.479,114301.2,0.002,BTCUSDT
2025-09-29 23:58:51.479,114301.4,0.065,BTCUSDT
2025-09-29 23:58:51.479,114301.4,0.102,BTCUSDT
2025-09-29 23:58:51.479,114301.5,0.001,BTCUSDT
2025-09-29 23:58:51.479,114301.5,0.002,BTCUSDT
2025-09-29 23:58:51.479,114301.5,0.976,BTCUSDT
2025-09-29 23:58:51.479,114301.5,1.493,BTCUSDT
2025-09-29 23:58:51.479,114301.6,0.002,BTCUSDT
